issue_id,severity,category,title,ahrefs_gsc_evidence,root_cause,fix_applied_in_repo,fixed_live,pending_action,verification_command
CRIT-001,critical,Technical/Hosting,"Redirect loop on root domain - all 4 homepage URL variants (http/https x www/non-www) redirect instead of converging","Ahrefs: Redirect loop - 3 crawled; raw crawl shows http://www=302, https://www=301, http://bare=302, https://bare=301","Cloudflare edge Redirect Rule matches the canonical host itself: https://contentanonymity.com/ returns 301 to its own URL (verified live 2026-09-05). Results in infinite loop and 2.5-month indexing collapse (17-19 -> 2 indexed pages since 2026-06-13).","No (repo-level redirects are correct: vercel.json + nginx.conf both single-hop www->non-www 301)","NO - LOOP STILL LIVE","Delete/fix the Cloudflare Redirect Rule (Dashboard > Rules > Redirect Rules) so https://contentanonymity.com/ returns 200. Recommended single canonical = https://contentanonymity.com (non-www). Do NOT recreate <=3 redirect rules that can loop; use one rule for www->non-www only.","node scripts/verify-canonical.mjs  (expect 4/4 OK)"
CRIT-002,high,On-Page SEO,"Homepage title tag empty in Ahrefs raw crawl","Homepage <title> came back empty in raw crawl","Ahrefs never received a final 200 homepage response because of CRIT-001; title only 'appeared' empty","Yes - index.html has static non-empty title + SEO.tsx renders per-route title","PENDING until CRIT-001","After CRIT-001 fixed, re-crawl; verify title renders via React Helmet and pre-JS injection","curl -s https://contentanonymity.com/ | findstr /i <title>"
CRIT-003,high,Indexing,"14 pages Not found (404) in GSC","GSC: Not found (404) = 14 affected","Dead/legacy URLs (e.g. old learning-path hash URLs, removed pages) still linked or sitemapped","Partial - redirect registry + populate-redirects.mjs scaffolded; hash learning paths excluded from sitemap (convex/http.ts + generate-sitemap.js)","PENDING","Export the 14 URLs from GSC (Indexing > Pages > Not found). Classify each: moved -> add to redirects.config.json; permanently removed -> leave absent from sitemap/internal links. Re-run node scripts/populate-redirects.mjs, deploy, then GSC 'Validate Fix'.","node scripts/check-routes.mjs"
CRIT-004,high,Server Errors,"13 pages Server error (5xx) in GSC","GSC: Server error (5xx) = 13 affected","Likely stale sitemap URLs / dynamic-route crashes under Googlebot; cannot fully diagnose while CRIT-001 blocks crawl","Yes - global ErrorBoundary in main.tsx; versioned noindex soft-404 branches in ArticleDetail/PlatformGuideDetail/LearningPathDetail","PENDING","After the canonical host returns 200, fetch each of the 13 URLs with Googlebot UA; check host logs (Coolify/Vercel) for 5xx; if JS-render only, increase react-snap coverage.","node scripts/check-routes.mjs"
CRIT-005,medium,Canonical,"2 pages 'Duplicate, Google chose different canonical'","GSC: Duplicate, Google chose different canonical = 2","At least one is /terms-of-service duplicating /terms (same component, both routes); no rel=canonical on the duplicate","Yes - SEO.tsx always emits self-referencing canonical + strips www; redirects.config.json now maps /terms-of-service -> /terms (301); /terms-of-service excluded from sitemap","PENDING deploy","Deploy redirect registry; confirm the second flagged canonical resolves to same canonical URL; request indexing after fix.","node scripts/validate-sitemap.mjs"
CRIT-006,medium,Indexing,"2 pages 'Page with redirect'","GSC: Page with redirect = 2","Old URLs served 3xx to crawlers (pre-loop-era legacy redirects)","Yes - all path redirects now single-hop 301 via populate-redirects.mjs into nginx-redirects.conf + vercel.json","PENDING deploy","After deploy, verify every redirect is exactly 1 hop to a 200 page; unlikely to need changes if CRIT-001 fix lands","curl -sIL <each redirected url> | findstr /i HTTP"
CRIT-007,medium,Indexing,"5 pages 'Crawled - currently not indexed'","GSC: Crawled - currently not indexed = 5","Content too thin / duplicated URLs; cannot assess while loop blocks crawl","Yes - noindex soft-404 hardening + routing cleanup","PENDING","After loop fix, add 2-3 internal links to each of the 5 URLs from high-authority pages; wait 2-3 weeks; request indexing per URL via GSC URL Inspection.","GSC URL Inspection per URL"
CRIT-008,medium,Semantic HTML,"og:image / twitter:image referenced a file that does not exist","SEO.tsx default og-image.jpg + twitter-image.jpg in index.html both 404 (file absent from public/)","Placeholder image file never created","Yes - generated public/og-image.png (1200x630, branded) via scripts/generate-og-image.mjs; SEO.tsx + index.html now point to og-image.png","PENDING deploy","Verify asset returns 200 and is >= 1200x630; re-test social sharing (FB Sharing Debugger / LinkedIn Post Inspector) and Google rich results.","curl -sI https://contentanonymity.com/og-image.png"
CRIT-009,medium,Indexing,"IndexNow key file misnamed","IndexNow notification returns 400 even after sitemap regen","Spec requires key file at /<key>.txt (URL-addressable), not indexnow.txt","Yes - added public/contentanonymity-indexnow-2026-secure-random-key-abc123def456.txt","PENDING deploy","Deploy so /contentanonymity-indexnow-2026-secure-random-key-abc123def456.txt returns 200 with the key; re-run generate-sitemap to trigger IndexNow ping.","curl -sI https://contentanonymity.com/contentanonymity-indexnow-2026-secure-random-key-abc123def456.txt"
CRIT-010,medium,Sitemap,"Sitemap needs resubmission after clean rebuild","sitemap.xml rebuilt - 72 canonical, non-www, de-duplicated URLs (was 77+ with stale entries)","Dynamic Convex articles/guides/paths now self-canonicalize; hash learning-path URLs excluded","Yes - regenerated public/sitemap.xml (72 URLs, lastmod 2026-09-05, no www/dupes/hash URLs)","PENDING deploy","Redeploy, then GSC > Sitemaps: resubmit https://contentanonymity.com/sitemap.xml; monitor.","node scripts/check-sitemap-hygiene.mjs"
