id,template_id,tool_id,tool_purpose,created_at
0afed2d6-5c65-4501-8433-96a772007e6e,a6480445-1c40-48b6-8fc5-551cfee5e348,bf2dc333-fedf-4321-b955-ab59dc3a7f7e,Screen Recording Editing,2025-12-03 18:06:00.726019+00
0d191319-1a86-4f05-b40a-0d2a351c6abb,c49fdb92-18b8-472c-a739-99739210aa37,bf2dc333-fedf-4321-b955-ab59dc3a7f7e,Editing & Text Overlay,2025-12-03 18:06:00.726019+00
15ea87a2-d512-41c2-a024-e405f686207a,04d5a66a-7912-45cc-8bf9-27ad4f7163d4,bf2dc333-fedf-4321-b955-ab59dc3a7f7e,Dynamic Editing,2025-12-03 18:06:00.726019+00
280569c4-6086-4c58-922c-93e1e80999de,8e73b1e7-2038-4509-9ce0-23e3416c1f27,bf2dc333-fedf-4321-b955-ab59dc3a7f7e,Slow Motion Editing,2025-12-03 18:06:00.726019+00
2e74e3c8-26f7-4057-bd75-ccd729300e3d,c7ccb3fe-67d8-467c-81db-bc0e12f03c50,bf2dc333-fedf-4321-b955-ab59dc3a7f7e,Fast Paced Editing,2025-12-03 18:06:00.726019+00
599c3d2f-bea3-495f-a59e-fa3e0f26e213,515bcf8f-8f60-4e43-ac0e-119e62c055d8,bf2dc333-fedf-4321-b955-ab59dc3a7f7e,Editing & Close-up Focus,2025-12-03 18:06:00.726019+00
7c5f7ade-caaa-4f3a-83f9-6b85070fe6f3,103fd1ba-0ee1-45d6-a495-72f9b1a20cc3,bf2dc333-fedf-4321-b955-ab59dc3a7f7e,Video Editing,2025-12-03 18:06:00.726019+00
84429584-319c-45f5-bc56-aff1219fac0a,8332d874-1f40-4392-a722-9453246b3c50,bf2dc333-fedf-4321-b955-ab59dc3a7f7e,Editing & Time-lapse,2025-12-03 18:06:00.726019+00
b22176bf-a111-4ad3-a7ec-27524c7753dd,679f4941-fcc4-4931-aedf-38363354f121,483eae85-65e6-4b9e-9bcc-22cbd1a17868,AI Voiceover,2025-12-03 18:06:00.726019+00
b947ab4e-0bb2-45ae-bcc6-89568e0a0e1e,969a0bc3-c4d6-4ea4-acae-0c35f667b450,bf2dc333-fedf-4321-b955-ab59dc3a7f7e,Editing & Highlighting,2025-12-03 18:06:00.726019+00
c1d5f5b1-e4af-40d5-9f42-d4748d294e5f,41cae27c-bb93-4e04-902a-36b66894f196,bf2dc333-fedf-4321-b955-ab59dc3a7f7e,Video Editing & Pacing,2025-12-03 18:06:00.726019+00
ccac87ec-d5d2-4655-b50e-fac5e755d3f4,c49fdb92-18b8-472c-a739-99739210aa37,483eae85-65e6-4b9e-9bcc-22cbd1a17868,AI Voiceover for Story,2025-12-03 18:06:00.726019+00
cdf51aaf-3411-4a35-8720-926758f12be2,103fd1ba-0ee1-45d6-a495-72f9b1a20cc3,483eae85-65e6-4b9e-9bcc-22cbd1a17868,AI Voiceover,2025-12-03 18:06:00.726019+00
f0a7b6ee-8d93-4425-9a33-96164c8efa33,6320cf88-93b1-4562-a42a-a867f63d1359,bf2dc333-fedf-4321-b955-ab59dc3a7f7e,Transition Editing,2025-12-03 18:06:00.726019+00
