id,name,description,created_at
08c53906-af6d-417b-9bda-c4e257c0548f,Deep Dive History,"In-depth, highly researched documentaries and narratives on specific historical events, cultures, or failed technologies.",2025-12-03 18:16:25.34911+00
2d08e048-764d-4b02-ab86-e59d3deed4b3,Hyper-Niche Gaming Lore,"Content dedicated to the deep, complex storylines, characters, and history of a single, popular video game universe.",2025-12-03 18:16:25.34911+00
36f1ae7c-18b2-4a27-8eeb-2af1b31ded72,Entertainment/Education,Content that educates through entertainment,2025-11-24 16:02:03.917266+00
610da5cd-2010-4ef4-a324-2823a46f17e0,Productivity & Efficiency,"Guides, tutorials, and templates for maximizing personal and digital efficiency, often featuring tools like Notion and Trello.",2025-12-03 18:16:25.34911+00
810bf758-3939-4808-8a85-7857d4489992,Ambient/Focus Media,"Content designed for passive consumption, relaxation, study, or sleep using soundscapes and looping visuals.",2025-12-03 18:16:25.34911+00
9cd4637f-695c-4e27-82f1-382622c7d892,Business/Finance,Business and financial education content,2025-11-24 16:20:53.968053+00
a7a2e360-cfe9-415d-8bfa-e21917be1fdf,Education,Pure educational content,2025-11-24 16:02:03.917266+00
c7998080-947c-4d14-a01f-8ba7970526f2,Digital Finance Hacks,"Actionable, short-form educational content focused on personal finance, crypto, budgeting, and investment strategies.",2025-12-03 18:16:25.34911+00
d2dfb0c5-a236-4bea-80f7-5e6822e3a38e,Cottagecore/Aesthetic DIY,"Visually aesthetic, satisfying hand-cam content focusing on detailed crafts, miniature creation, and domestic arts.",2025-12-03 18:16:25.34911+00
ea2262aa-d2b6-4d0f-a052-f630ddbe69ae,True Crime & Mystery,"Narrative-driven content exploring unsolved cases, historical conspiracies, and psychological thrillers.",2025-12-03 18:16:25.34911+00
f631693e-cea9-4c4b-bc4c-232a152e2720,Business/Education,Business-focused educational content,2025-11-24 16:02:03.917266+00
f88fe1f3-f582-4e98-bc78-58d1406536b4,Entertainment,Pure entertainment content,2025-11-24 16:02:03.917266+00
f89ad2f1-f2b5-4846-96f6-9a0a4e38ad97,AI & Automation,"Niches focusing on leveraging artificial intelligence, machine learning, and automation for business or personal growth.",2025-12-03 18:16:25.34911+00
