id,name,slug,description,parent_id,pillar_page,seo_keywords,sort_order,created_at
13b57ff4-0257-4516-86d9-d7bd2372f12f,Success Case Studies,success-case-studies,Real faceless creator success stories with verified metrics and behind-the-scenes strategies,,true,,4,2025-11-19 17:37:52.814383+00
33052204-1a74-4168-9cb4-65533c0f8c31,Monetization,monetization,Strategies for making money online,,false,,0,2025-11-24 16:02:03.917266+00
3e30e970-649c-499b-9af5-8de7f5b6b47b,Video Automation,video-automation,Tools and strategies for automated content creation,,false,,0,2026-01-17 18:40:24.101471+00
46d4ada4-db18-4f7a-8822-d3e636f7e749,Automated Content Creation,automated-content,Tools and strategies for automated content production,,true,,2,2025-11-18 15:00:10.473031+00
5b084ace-1547-478c-9cee-679a4ad99b36,Social Automation,social-automation,Strategies for scaling short-form content on TikTok and Reels,,false,,0,2026-01-17 18:43:10.601353+00
6057776f-9588-4ca9-a013-1b25e428a699,Monetization Methods,monetization-methods,Diverse revenue streams for faceless businesses,,true,,5,2025-11-18 15:00:10.473031+00
62eb2362-05b0-42ef-b33c-7ed5032eef1d,Getting Started,getting-started,Beginner guides to start your faceless business,,false,,4,2025-12-04 13:01:19.624325+00
92107711-bae8-4fe1-84b2-383273d9e90f,Content Strategy,content-strategy,Guides and strategies for creating faceless content,,false,,1,2025-12-04 13:01:19.624325+00
b0ae37e1-cdaf-42fc-acef-2ab914651921,Faceless YouTube Channels,faceless-youtube,Complete guide to building anonymous YouTube channels,,true,,1,2025-11-18 15:00:10.473031+00
c57b3a05-b260-4adb-a902-692d93573586,AI Tools for Solopreneurs,ai-tools,Leveraging AI for content creation and automation,,true,,3,2025-11-19 17:21:22.612386+00
c9ed6031-6f42-4943-8a11-d27c75c0a7c4,Platform Guides,platform-guides,Platform-specific guides and tutorials,,false,,3,2025-12-04 13:01:19.624325+00
d34130f2-e0a4-431f-b7bd-30926ee7576a,Niche Selection Strategies,niche-selection,Finding profitable niches for faceless content,,true,,4,2025-11-18 15:00:10.473031+00
d8259895-ceda-4a9c-8fbb-31bc191d65c6,Content Strategies,content-strategies,In-depth guides on anonymous content creation and platform dominance.,,true,,0,2026-01-27 18:11:16.754536+00
ecc3e814-4fc9-4e1d-bc8d-0ba948ff9ec3,Video Production,video-production,Video creation and editing tutorials,,false,,0,2025-11-24 16:02:03.917266+00
f2e63638-088c-4feb-876d-0f3cabf54038,Strategy & Playbooks,strategy-playbooks,Comprehensive guides and execution plans for faceless growth.,,false,,1,2025-11-24 18:46:40.895511+00
