niche_name,category,production_difficulty,startup_cost,evergreen_score,competition_level,avg_rpm,estimated_earnings_range,best_ai_tools,case_study_count,avg_case_study_earnings,recommendation_score
Anime Self Improvement,Entertainment/Education,easy,low,7,medium,4.50,"$5,000-9,000/month","[""ElevenLabs"",""Pictory"",""Descript""]",1,7000.00,32
Binaural Beats & Lo-Fi Study Music,Ambient/Focus Media,easy,,10,medium,,,,0,,34
Budgeting Spreadsheets & Crypto Explainer Videos,Digital Finance Hacks,medium,,9,very_high,,,,0,,26
Business Documentaries,Business/Finance,hard,high,9,high,15.00,"$40,000-60,000/month","[""Descript"",""Pictory"",""AI research tools""]",1,50000.00,30
ChatGPT Prompts & Side Hustles,AI & Automation,medium,,8,high,,,,0,,26
Cold Cases & Historical Conspiracies,True Crime & Mystery,medium,,9,high,,,,0,,28
Courtroom Legal Drama,Entertainment/Education,medium,low,8,medium,7.00,"$50,000-70,000/month","[""ElevenLabs"",""Descript"",""ChatGPT for research""]",1,57000.00,34
Finance Education,Business/Finance,hard,medium,10,very_high,20.00,"$15,000-25,000/month","[""ChatGPT for research"",""AI data analysis"",""Content planning tools""]",1,18000.00,34
Horror Storytelling,Entertainment,medium,low,9,medium,8.50,"$80,000-120,000/month","[""ElevenLabs for voiceovers"",""AI script helpers"",""Sound design AI""]",1,110000.00,36
Military History & Ancient Cultures,Deep Dive History,hard,,10,medium,,,,0,,30
Notion/Trello Templates & Time-Blocking,Productivity & Efficiency,easy,,9,high,,,,0,,30
Polymer Clay Crafts & Miniature Dioramas,Cottagecore/Aesthetic DIY,medium,,8,low,,,,0,,30
Single-Game Deep Lore,Hyper-Niche Gaming Lore,medium,,7,medium,,,,0,,26
Space Science Explainers,Education,medium,medium,10,high,8.50,"$10,000-15,000/month","[""ElevenLabs"",""Pictory"",""ChatGPT for scripting""]",1,13000.00,34
