niche_name,category,avg_rpm,difficulty_level,competition_level,evergreen_score,estimated_earnings_range,case_study_count,avg_case_study_earnings,business_score
Anime Self Improvement,Entertainment/Education,4.50,easy,medium,7,"$5,000-9,000/month",1,7000.00,7.15
Binaural Beats & Lo-Fi Study Music,Ambient/Focus Media,,easy,medium,10,,0,,
Budgeting Spreadsheets & Crypto Explainer Videos,Digital Finance Hacks,,medium,very_high,9,,0,,
Business Documentaries,Business/Finance,15.00,hard,high,9,"$40,000-60,000/month",1,50000.00,9.30
ChatGPT Prompts & Side Hustles,AI & Automation,,medium,high,8,,0,,
Cold Cases & Historical Conspiracies,True Crime & Mystery,,medium,high,9,,0,,
Courtroom Legal Drama,Entertainment/Education,7.00,medium,medium,8,"$50,000-70,000/month",1,57000.00,7.40
Finance Education,Business/Finance,20.00,hard,very_high,10,"$15,000-25,000/month",1,18000.00,11.20
Horror Storytelling,Entertainment,8.50,medium,medium,9,"$80,000-120,000/month",1,110000.00,8.25
Military History & Ancient Cultures,Deep Dive History,,hard,medium,10,,0,,
Notion/Trello Templates & Time-Blocking,Productivity & Efficiency,,easy,high,9,,0,,
Polymer Clay Crafts & Miniature Dioramas,Cottagecore/Aesthetic DIY,,medium,low,8,,0,,
Single-Game Deep Lore,Hyper-Niche Gaming Lore,,medium,medium,7,,0,,
Space Science Explainers,Education,8.50,medium,high,10,"$10,000-15,000/month",1,13000.00,8.65
