id,niche_name,category_id,profitability_score,avg_rpm,difficulty_level,competition_level,startup_cost,time_to_monetization,evergreen_score,estimated_earnings_range,required_tools,best_ai_tools,risks,trend_status,description,created_at,updated_at,target_audience,primary_content_focus,monetization_strategies
034ee41d-d614-4ea4-bb7f-a0d40835ce75,Business Documentaries,9cd4637f-695c-4e27-82f1-382622c7d892,8,15.00,hard,high,high,4-8 months,9,"$40,000-60,000/month","[""Professional video equipment"",""Research databases"",""Stock footage""]","[""Descript"",""Pictory"",""AI research tools""]","[""High production costs"",""Time-consuming"",""Competitive quality bar""]",stable,High RPM business content but expensive to produce. Quality expectations are very high in this niche.,2025-11-24 16:20:53.968053+00,2025-11-24 16:20:53.968053+00,,,
1eb8e54c-6fd3-46b4-9082-81152dd36539,Polymer Clay Crafts & Miniature Dioramas,d2dfb0c5-a236-4bea-80f7-5e6822e3a38e,7,,medium,low,,,8,,,,,,,2025-12-03 18:16:25.34911+00,2025-12-03 18:16:25.34911+00,"Art/Craft Enthusiasts, People seeking relaxing, visually pleasing content","Overhead/hand-cam shots of detailed crafting process, focus on textures and colors.","[{""type"": ""E-commerce"", ""details"": ""Selling Physical/Digital Crafts (Etsy)""}, {""type"": ""Affiliate Marketing"", ""details"": ""Craft Supplies""}, {""type"": ""Education"", ""details"": ""Digital Guides""}]"
1ede1b28-a666-4160-9c73-6b8086d7659c,Anime Self Improvement,36f1ae7c-18b2-4a27-8eeb-2af1b31ded72,8,4.50,easy,medium,low,2-4 months,7,"$5,000-9,000/month","[""Video editing software"",""Anime clip sources"",""Royalty-free music""]","[""ElevenLabs"",""Pictory"",""Descript""]","[""Unpredictable performance"",""Hit-or-miss content"",""Copyright issues with anime clips""]",rising,Motivational content mixed with anime clips. People love bite-sized motivational content but performance can be unpredictable.,2025-11-24 16:20:53.968053+00,2025-11-24 16:20:53.968053+00,,,
20a16a2f-43d9-439a-90f9-6c3ad6bb802f,Cold Cases & Historical Conspiracies,ea2262aa-d2b6-4d0f-a052-f630ddbe69ae,8,,medium,high,,,9,,,,,,,2025-12-03 18:16:25.34911+00,2025-12-03 18:16:25.34911+00,"Binge-watchers, Psychology/History buffs, Podcast listeners","Narrative storytelling with voiceover, high-contrast B-roll, archived photos.","[{""type"": ""Patreon/Memberships"", ""details"": ""Exclusive deep-dives""}, {""type"": ""AdSense"", ""details"": ""Standard CPM""}, {""type"": ""Sponsorships"", ""details"": ""Podcast/VPN/Reading Apps""}]"
292699c1-4d94-4cda-bb08-203b0b3c61f6,Binaural Beats & Lo-Fi Study Music,810bf758-3939-4808-8a85-7857d4489992,7,,easy,medium,,,10,,,,,,,2025-12-03 18:16:25.34911+00,2025-12-03 18:16:25.34911+00,"Students, Remote Workers, People with Anxiety/Sleep Issues","4K Looping visuals, High-fidelity binaural sound recordings.","[{""type"": ""AdSense"", ""details"": ""Very high watch time""}, {""type"": ""Digital Products"", ""details"": ""Custom Sound Packs""}, {""type"": ""Patreon"", ""details"": ""Ad-free access""}]"
300e53a4-0a1f-48a6-93b6-703e9c4d4bcb,ChatGPT Prompts & Side Hustles,f89ad2f1-f2b5-4846-96f6-9a0a4e38ad97,9,,medium,high,,,8,,,,,,,2025-12-03 18:16:25.34911+00,2025-12-03 18:16:25.34911+00,"Entrepreneurs, Digital Marketers, Freelancers","Screen recordings, AI-generated explainer videos, lists of new AI tools.","[{""type"": ""Digital Products"", ""details"": ""Selling Prompt Templates""}, {""type"": ""Affiliate Marketing"", ""details"": ""AI Software""}, {""type"": ""Education"", ""details"": ""Digital Courses""}]"
35599fed-93c8-451d-8de3-66dc0203380d,Space Science Explainers,a7a2e360-cfe9-415d-8bfa-e21917be1fdf,9,8.50,medium,high,medium,3-6 months,10,"$10,000-15,000/month","[""Research tools"",""Video editing software"",""Stock footage""]","[""ElevenLabs"",""Pictory"",""ChatGPT for scripting""]","[""Competitive niche"",""Requires good storytelling"",""Scientific accuracy important""]",stable,Evergreen space and science content that continues to get views for years. Requires good storytelling and visuals.,2025-11-24 16:20:53.968053+00,2025-11-24 16:20:53.968053+00,,,
5be6d739-a4d8-42bf-8641-64aaae5d6763,Budgeting Spreadsheets & Crypto Explainer Videos,c7998080-947c-4d14-a01f-8ba7970526f2,9,,medium,very_high,,,9,,,,,,,2025-12-03 18:16:25.34911+00,2025-12-03 18:16:25.34911+00,"Gen Z/Millennials seeking financial independence, First-time investors","Animated graphics, screen recordings of apps, Whiteboard animations.","[{""type"": ""Affiliate Marketing"", ""details"": ""Investment platforms, budgeting software""}, {""type"": ""Digital Products"", ""details"": ""Custom Spreadsheets/Trackers""}, {""type"": ""Education"", ""details"": ""Mini-courses""}]"
5e8c3256-fc7e-4d7e-b73b-cba284723b61,Finance Education,9cd4637f-695c-4e27-82f1-382622c7d892,10,20.00,hard,very_high,medium,4-7 months,10,"$15,000-25,000/month","[""Research tools"",""Graphics software"",""Financial data sources""]","[""ChatGPT for research"",""AI data analysis"",""Content planning tools""]","[""Crowded niche"",""Authority required"",""Financial accuracy critical""]",rising,Highest RPM niche attracting wealthy audiences. Requires strong authority and research but pays extremely well per view.,2025-11-24 16:20:53.968053+00,2025-11-24 16:20:53.968053+00,,,
a25b7f36-0508-4426-b0e9-13c50115e1a3,Single-Game Deep Lore,2d08e048-764d-4b02-ab86-e59d3deed4b3,6,,medium,medium,,,7,,,,,,,2025-12-03 18:16:25.34911+00,2025-12-03 18:16:25.34911+00,"Dedicated Gamers, Lore Enthusiasts","In-game footage, narrative voiceover of complex storylines, fan art.","[{""type"": ""AdSense"", ""details"": ""Standard CPM""}, {""type"": ""Affiliate Marketing"", ""details"": ""Gaming Gear/Merch""}, {""type"": ""Streaming"", ""details"": ""Twitch/Discord monetization""}]"
